time,temperature_2m,precipitation_probability,country_name,capital,country_population,ip_query,ip_city,ip_isp
2026-08-07 00:00:00,28.2,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 01:00:00,27.2,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 02:00:00,26.7,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 03:00:00,26.4,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 04:00:00,26.0,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 05:00:00,25.5,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 06:00:00,25.2,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 07:00:00,25.4,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 08:00:00,26.5,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 09:00:00,28.1,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 10:00:00,29.8,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 11:00:00,31.7,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 12:00:00,33.0,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 13:00:00,34.1,1,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 14:00:00,34.9,3,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 15:00:00,35.5,6,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 16:00:00,35.9,13,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 17:00:00,35.9,21,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-07 18:00:00,35.4,24,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
